Time_Seconds,Backlog,Active_Workers,Throughput_Req_Sec,Latency_p50_ms,Latency_p95_ms,Latency_p99_ms
0,0,0,9,102.69,102.91,103.01
1,0,0,9,102.60,102.70,102.73
2,0,0,10,102.72,102.93,102.94
3,0,0,7,102.72,107.39,107.40
4,0,0,5,102.81,102.94,102.95
5,0,0,5,102.60,102.80,102.82
6,0,0,5,102.76,107.66,108.62
7,0,0,5,102.65,102.82,102.84
8,0,0,9,102.58,102.80,102.84
9,0,0,16,102.71,104.98,105.89
10,10,1,18,105.45,107.41,107.42
11,0,0,18,105.78,107.16,107.33
12,2,1,25,104.59,107.32,115.60
13,0,0,27,104.69,107.62,107.90
14,0,0,27,104.73,107.34,107.40
15,0,0,27,104.98,107.50,107.79
16,0,0,22,104.44,107.46,108.92
17,0,0,19,104.31,105.32,108.58
18,0,0,27,104.22,107.56,109.24
19,0,0,27,104.24,105.60,107.02
20,16,1,77,104.40,108.82,115.21
21,0,0,92,104.49,107.54,111.48
22,13,1,144,105.38,110.23,119.39
23,0,0,163,106.55,110.33,114.91
24,0,0,165,105.74,110.78,118.40
25,0,0,142,105.96,134.31,158.80
26,0,0,90,106.38,150.71,161.55
27,0,0,97,106.12,144.83,160.72
28,0,0,49,105.73,156.10,163.09
29,0,0,50,105.74,156.72,163.40
30,130,7,50,105.43,152.54,161.24
31,0,0,50,105.84,150.26,156.80
32,153,8,49,105.01,151.31,157.73
33,0,0,46,104.50,153.69,157.04
34,25,2,46,105.31,155.66,162.97
35,0,0,49,106.22,153.95,161.45
36,0,0,45,104.70,159.87,167.38
37,0,0,48,106.75,157.44,164.64
38,0,0,49,106.37,155.54,164.07
39,0,0,50,105.17,157.04,164.99
40,0,0,50,104.88,156.97,167.12
41,0,0,50,104.51,155.67,163.04
42,0,0,45,106.50,144.24,155.10
43,0,0,50,105.85,164.98,174.85
44,0,0,49,105.90,159.58,165.70
45,0,0,46,104.62,155.65,159.14
46,0,0,48,105.22,153.51,161.75
47,0,0,47,105.96,151.32,163.17
48,0,0,4,108.38,115.71,116.27
49,0,0,5,110.06,116.14,116.86
50,0,0,4,111.04,116.35,116.90
51,0,0,4,110.19,116.62,117.22
52,0,0,5,107.08,116.43,117.18
53,0,0,5,107.62,116.07,116.88
54,0,0,5,107.37,115.87,116.67
55,0,0,5,108.39,117.21,117.99
56,0,0,5,108.64,117.21,117.91
57,0,0,5,107.89,116.44,117.23
58,0,0,0,0.00,0.00,0.00
59,0,0,0,0.00,0.00,0.00
60,0,0,0,0.00,0.00,0.00
